catalogNumber,scientificName,UTM100X100M,UTM10X10Km,verbatimCoordinates,FECHA,countryCode,stateProvince,verbatimLocality,basisOfRecord,occurrenceID,institutionCode,collectionCode,recordedBy,eventDate,year,month,day,habitat,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters
8758,Colpomenia peregrina (Sauvageau) Hamel,29TNH019374,29TNH03,29TNH019374,1996-07-16,ES,C,"A Coruña: Ría de Muros-Noia, Embarcadero de Creo",PreservedSpecimen,SANT:SANT-Algae:8758-A,,,,,,,,,,,,,,,
8504,Colpomenia peregrina (Sauvageau) Hamel,29TNH143082,29TNH10,29TNH143082,1996-07-02,ES,PO,"Pontevedra: Ría de Arousa, Tragove",PreservedSpecimen,SANT:SANT-Algae:8504-A,,,,,,,,,,,,,,,
8169,Colpomenia peregrina (Sauvageau) Hamel,XXX,29TNG21,29TNG21,1995-03-18,ES,PO,Pontevedra: Puerto de Vigo. Astilleros AUCOSA,PreservedSpecimen,SANT:SANT-Algae:8169-A,,,,,,,,,,,,,,,
7977,Colpomenia peregrina (Sauvageau) Hamel,XXX,29TNG27,29TNG27,1995-03-17,ES,PO,Pontevedra: Puerto de Vigo. Junto a industrias Navales Patouro,PreservedSpecimen,SANT:SANT-Algae:7977-A,,,,,,,,,,,,,,,
7592,Colpomenia peregrina (Sauvageau) Hamel,29TNH142077,29TNH10,29TNH142077,1996-03-06,ES,PO,"Pontevedra: Ría de Arousa, Punta de Tragove",PreservedSpecimen,SANT:SANT-Algae:7592-A,,,,,,,,,,,,,,,
5865,Colpomenia peregrina (Sauvageau) Hamel,29TNH013092,,29TNH013092,1997-10-15,ES,C,"A Coruña: A Ameixida, Ribeira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:5865-A,,,,,,,,,,,,,,,
5625,Colpomenia peregrina (Sauvageau) Hamel,29TNH047144,,29TNH047144,1997-04-23,ES,C,"A Coruña: Punta Corna, A Pobra do Caramiñal, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:5625-A,,,,,,,,,,,,,,,
5357,Colpomenia peregrina Sauvaugeau,XXX,29TMH93,29TMH93,1988-08-23,ES,C,"La Coruña: Ensenada de San Francisco, Louro, Muros",PreservedSpecimen,SANT:SANT-Algae:5357-A,,,,,,,,,,,,,,,
3808,Colpomenia peregrina (Sauvageau) Hamel,29TNH075105,29TNH01,29TNH075105,1991-08-28,ES,PO,"Pontevedra: entre los islotes Xidoiro, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3808-A,,,,,,,,,,,,,,,
3735,Colpomenia peregrina (Sauvageau) Hamel,29TNH143082,,29TNH143082,1997-01-23,ES,PO,"Pontevedra: Tragove, Vilanova de Arousa, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3735-A,,,,,,,,,,,,,,,
